id;libstreetlamp;modelestreetlamp;dureeviestreetlamp;uniteviestreetlamp;materiaustreetlamp;liblampe;pwlampe;formelampe;modelelampe;dureevielampe;unitevielampe;voltlampe;templampe;imagepathstreetlamp;stockstreetlamp;pricestreetlamp
1;FTP;Kyat Norwegian Krone bus;58951;mesh United Arab Emirates;Baby;integrate;16562;back-end ROI;bricks-and-clicks Games Managed;29217;Principal Generic Steel;99719;64326;exploit Assistant empower;12831;45992
2;interface Borders mobile;International;50482;PCI Practical Cotton Shirt Producer;sensor Investment Account deliver;Incredible Berkshire;47178;Arizona;Industrial Grocery;82392;Incredible architect Games;40667;90417;Senior program;43786;94524
3;invoice Web Steel;Centralized open-source;26842;CFA Franc BEAC Buckinghamshire;incubate;mission-critical Savings Account;18994;Representative;plum Investment Account Health;57733;rich hardware monitor;11704;32679;viral Buckinghamshire;42573;79842
4;Iranian Rial;Baby;20526;disintermediate capacitor index;hack executive West Virginia;Bedfordshire Metrics Rhode Island;52358;Movies;Concrete Car;15291;Tasty customized;74470;52414;input Intelligent;29789;4677
5;Assistant;Rapid Handmade;11552;Facilitator Glen;Cotton;New Israeli Sheqel Optimization Ouguiya;69589;maroon;Cotton Accounts Fish;42328;Personal Loan Account;84952;28597;generate;78925;68585
6;solutions Borders;Forward;82639;Up-sized AI;synthesizing;Public-key XSS user-centric;8823;Centralized website Mill;seamless;32560;Investment Account;57369;91519;RSS quantify;62073;59225
7;Uganda Shilling Tactics;capacity withdrawal parse;19650;transmit Holy See (Vatican City State) seamless;Small input;Outdoors;53196;Soft solid state;Global;52708;Networked Sleek;72913;50597;Division orchid Ecuador;12494;37103
8;calculating Forward invoice;Customer Dynamic COM;2426;Cotton Nakfa;Optimization;Central African Republic encryption payment;88484;Administrator Up-sized;Group;11350;Quality-focused Plain;7391;80381;holistic Frozen;89557;42439
9;Wooden interface CSS;secured line Regional;53241;invoice virtual plum;Direct ivory Refined Rubber Hat;one-to-one USB;80058;primary compress;Bedfordshire;14678;Manager architect invoice;51091;86160;customer loyalty;38471;34646
10;parsing;Stream CSS;15971;Sleek Soft Chair Steel;Mission internet solution Industrial;Movies Customer hard drive;43930;Kentucky;integrate Strategist;99278;Berkshire Unbranded;18334;58042;optical;92458;82339
